match_id,series_id,start_time,radiant_win,radiant_score,dire_score,duration,first_blood_time,radiant_team,dire_team,kills
6580732041,669498,2022-05-21,True,36,16,2124,183,OG,Gaimin Gladiators,52
6573568264,668138,2022-05-16,False,6,28,1295,143,T1,Gaimin Gladiators,34
6570391220,667437,2022-05-14,True,43,5,1637,8,Thunder Awaken,Gaimin Gladiators,48
6571442714,667641,2022-05-15,False,14,26,2341,136,Fnatic,Gaimin Gladiators,40
6567037682,666784,2022-05-12,True,28,21,2712,240,TSM FTX,Gaimin Gladiators,49
6576116877,668626,2022-05-18,True,39,21,2684,304,TSM FTX,Gaimin Gladiators,60
6569495972,667296,2022-05-14,True,36,12,1944,276,BetBoom Team,Evil Geniuses,48
6569577483,667296,2022-05-14,True,36,14,2219,298,BetBoom Team,Evil Geniuses,50
6566656802,666722,2022-05-12,True,32,20,2693,100,Tundra Esports,Evil Geniuses,52
6568205642,666990,2022-05-13,True,27,25,2897,106,BOOM Esports,Evil Geniuses,52
6566878745,666748,2022-05-12,True,28,25,2903,83,T1,Evil Geniuses,53
6572937926,668051,2022-05-16,False,21,26,2439,274,BetBoom Team,Thunder Awaken,47
6573182161,668051,2022-05-16,False,23,30,2614,172,BetBoom Team,Thunder Awaken,53
6579931950,669374,2022-05-21,True,26,9,1658,143,OG,Thunder Awaken,35
6575974930,668557,2022-05-18,True,32,30,2862,302,Tundra Esports,Thunder Awaken,62
6571446779,667643,2022-05-15,False,11,31,1752,6,TSM FTX,Thunder Awaken,42
6571738707,667749,2022-05-15,False,10,32,2096,0,TSM FTX,Thunder Awaken,42
6570288241,667437,2022-05-14,True,35,48,2777,269,Gaimin Gladiators,Thunder Awaken,83
6568623245,667074,2022-05-13,True,35,20,2185,8,Team Spirit,Thunder Awaken,55
6574385083,668295,2022-05-17,False,13,23,1576,231,BetBoom Team,Team Liquid,36
6574482766,668295,2022-05-17,True,24,15,2793,272,BetBoom Team,Team Liquid,39
6567029565,666781,2022-05-12,True,44,27,3054,189,Thunder Awaken,Team Liquid,71
6567147786,666781,2022-05-12,True,35,18,2330,59,Thunder Awaken,Team Liquid,53
6571843720,667784,2022-05-15,True,38,15,2143,7,Thunder Awaken,Team Liquid,53
6568412845,667039,2022-05-13,True,22,9,1978,250,Fnatic,Team Liquid,31
6568523627,667039,2022-05-13,False,9,32,2872,176,Fnatic,Team Liquid,41
6570172820,667376,2022-05-14,True,43,24,2359,259,TSM FTX,Team Liquid,67
6568647082,667090,2022-05-13,False,22,40,2928,9,Gaimin Gladiators,Team Liquid,62
6568751767,667090,2022-05-13,False,10,17,1330,164,Gaimin Gladiators,Team Liquid,27
6570284918,667433,2022-05-14,False,7,34,2470,118,Team Spirit,Team Liquid,41
6570398588,667433,2022-05-14,False,9,20,1918,100,Team Spirit,Team Liquid,29
6571732248,667745,2022-05-15,True,35,7,1574,77,Team Spirit,Team Liquid,42
6573291227,668094,2022-05-16,False,27,43,3348,246,OG,TSM FTX,70
6571554679,667643,2022-05-15,False,13,40,2527,101,Thunder Awaken,TSM FTX,53
6567327850,666834,2022-05-12,True,15,16,2988,418,Fnatic,TSM FTX,31
6567143852,666784,2022-05-12,True,27,9,1760,76,Gaimin Gladiators,TSM FTX,36
6576223979,668626,2022-05-18,False,17,37,2712,120,Gaimin Gladiators,TSM FTX,54
6571843204,667783,2022-05-15,False,26,42,3306,0,Team Spirit,TSM FTX,68
6570018786,667376,2022-05-14,False,35,46,3591,181,Team Liquid,TSM FTX,81
6571966593,667825,2022-05-15,False,9,23,1835,9,Team Liquid,TSM FTX,32
6578799684,669098,2022-05-20,False,12,27,2181,252,OG,Fnatic,39
6570016479,667375,2022-05-14,False,6,27,1338,279,Thunder Awaken,Fnatic,33
6570116439,667375,2022-05-14,True,33,18,2150,201,Thunder Awaken,Fnatic,51
6567240449,666834,2022-05-12,False,22,44,2651,228,TSM FTX,Fnatic,66
6571582160,667641,2022-05-15,True,23,12,1932,276,Gaimin Gladiators,Fnatic,35
